source,target,lag,p_value,significant_at_5pct
INF,FEDFUNDS,4,0.10877958691645292,False
UNRATE,FEDFUNDS,4,0.15695980115944833,False
INDPRO_GROWTH,FEDFUNDS,4,0.5795150893143393,False
M2_GROWTH,FEDFUNDS,4,0.526130098759044,False
FEDFUNDS,INF,4,0.002967895765752404,True
UNRATE,INF,4,0.9633648211708896,False
INDPRO_GROWTH,INF,4,0.7398254359942075,False
M2_GROWTH,INF,4,0.060143535178342006,False
FEDFUNDS,UNRATE,4,2.296099004037552e-14,True
INF,UNRATE,4,0.029564905663123857,True
INDPRO_GROWTH,UNRATE,4,1.68114689571452e-06,True
M2_GROWTH,UNRATE,4,2.8813453018465003e-12,True
FEDFUNDS,INDPRO_GROWTH,4,2.7704305733350904e-08,True
INF,INDPRO_GROWTH,4,0.005177185196904773,True
UNRATE,INDPRO_GROWTH,4,1.2040699430939764e-07,True
M2_GROWTH,INDPRO_GROWTH,4,1.3221227470863833e-07,True
FEDFUNDS,M2_GROWTH,4,1.1183490524215566e-07,True
INF,M2_GROWTH,4,0.0007823680148617812,True
UNRATE,M2_GROWTH,4,6.061734211307798e-06,True
INDPRO_GROWTH,M2_GROWTH,4,1.1178445817749746e-07,True
