model_type,source,target,test,p_value,test_statistic,significant_at_5pct,Acceptable if
VAR,FEDFUNDS,INF,VAR-system Granger causality F-test,0.059560665443097655,2.128346087189398,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,UNRATE,INF,VAR-system Granger causality F-test,0.3750329161434698,1.0701827924499736,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INDPRO_GROWTH,INF,VAR-system Granger causality F-test,0.1668208091234023,1.5651340974233374,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,SENTIMENT_CHANGE,INF,VAR-system Granger causality F-test,0.42926395839211384,0.9789023187610411,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INF,FEDFUNDS,VAR-system Granger causality F-test,0.04634792382306395,2.2593204500999446,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,UNRATE,FEDFUNDS,VAR-system Granger causality F-test,0.002780815500301915,3.645056052986193,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INDPRO_GROWTH,FEDFUNDS,VAR-system Granger causality F-test,0.012290451640363496,2.9280106534185615,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,SENTIMENT_CHANGE,FEDFUNDS,VAR-system Granger causality F-test,0.5834709465591621,0.7535264077521416,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INF,UNRATE,VAR-system Granger causality F-test,0.7866925436672302,0.4863195765817692,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,FEDFUNDS,UNRATE,VAR-system Granger causality F-test,1.3732076670229538e-09,10.158085788536782,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INDPRO_GROWTH,UNRATE,VAR-system Granger causality F-test,0.00025697994110482374,4.755477152297475,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,SENTIMENT_CHANGE,UNRATE,VAR-system Granger causality F-test,0.28215750923500943,1.2523966067252752,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INF,INDPRO_GROWTH,VAR-system Granger causality F-test,0.011143238047717332,2.9761266346579407,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,FEDFUNDS,INDPRO_GROWTH,VAR-system Granger causality F-test,5.3542967569116174e-05,5.470981387473693,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,UNRATE,INDPRO_GROWTH,VAR-system Granger causality F-test,1.2069995860899193e-08,9.204656532546334,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,SENTIMENT_CHANGE,INDPRO_GROWTH,VAR-system Granger causality F-test,0.11310000328467999,1.7835098724527487,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INF,SENTIMENT_CHANGE,VAR-system Granger causality F-test,0.0001851487455074892,4.905849535626111,True,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,FEDFUNDS,SENTIMENT_CHANGE,VAR-system Granger causality F-test,0.12420569567506556,1.7316516507761324,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,UNRATE,SENTIMENT_CHANGE,VAR-system Granger causality F-test,0.4057754604003533,1.0173872361809781,False,"p-value < 0.05 indicates predictive causality, not structural causality"
VAR,INDPRO_GROWTH,SENTIMENT_CHANGE,VAR-system Granger causality F-test,0.2805645760265137,1.2559100091878959,False,"p-value < 0.05 indicates predictive causality, not structural causality"
